amount_pedestrian
0
1
2
3
4
5
6
7
8
9
10
11
12
12
13
13
14
14
15
15
16
16
17
17
18
18
19
19
20
20
21
21
22
22
23
23
24
24
25
25
26
26
27
27
28
28
29
29
30
30
31
31
32
32
33
32
33
33
33
33
34
32
33
31
32
30
31
29
30
28
29
27
28
26
27
25
26
24
25
23
24
22
23
23
24
24
25
25
26
26
27
27
28
28
29
29
30
30
31
31
32
31
32
32
32
31
31
30
30
29
29
28
28
27
27
26
26
25
25
24
24
23
23
22
21
19
18
16
15
13
12
10
9
8
7
6
5
4
4
3
3
2
2
1
1
0
0
0
0
0
0
0
